"Site
#",School,Date,Time,"Creek
Appearance","Weather  (past 48
hr)",Stage (m),"Discharge
(m3
s)",Other tests,"Sulfate
(mg
L)","Flow  (m
s)","Temp. (deg
C)","pH
Meter","TDS
(mg
L)","DO
(mg
L)","NO3-N
(mg
L)","P (mg
L)","Alk
(mg
L)","Turb
(JTU)","Fe
(mg
L)","WQI
value","Conductivity
(uS
cm)","pH
Test
Kit"
4,"Cambridge
Springs",2000-12-06,.,high velocity,snow,0.5,n/a,,no data,fast,4,7.9,60,13,0.45,0.02,37.4,0,.,8.9,.,.
7,Meadville Senior,2000-12-06,.,n/a,"cold, snow",normal,n/a,,no data,n/a,2,8.5,90,11,0.7,0,85,10,.,19.3,.,.
35,Meadville High,2000-12-06,.,clear,snow,n/a,n/a,,no data,n/a,.,7.6,390,9.5,0.14,0.024,127.5,5,.,6.91,.,.
4,"Cambridge
Springs",2000-12-07,.,slightly frozen,"snow, 12""",normal,n/a,,no data,n/a,1,7.4,.,2.5,.,.,25.5,10,.,.,.,.
4,"Cambridge
Springs",2000-12-07,.,slightly frozen,"snow, 12""",normal,n/a,,no data,n/a,1,7.4,.,0.4,.,.,25.5,.,.,.,.,.
21,"Cambridge
Springs",2000-12-07,1:00:00,slightly frozen,"snow, 12""",normal,n/a,,no data,n/a,1,7.4,.,0.4,.,.,25.5,.,.,.,.,.
21,"Cambridge
Springs",2000-12-07,10:00:00,slightly frozen,"snow, 12""",normal,n/a,,no data,n/a,1,7.4,.,2.5,.,.,25.5,10,.,.,.,.
9,"Sherman
Central",2000-12-11,.,n/a,cold,higher,n/a,,no data,n/a,1,7.25,155,9,0.11,0.01,102,12.5,.,9.45,.,.
6,Saegertown,2000-12-14,.,"fast, ice chunks","snow, cold",high,n/a,,no data,fast,0,8.35,70,11,0.03,0,68,5,.,10.4,.,.
13,Parker,2000-12-14,8:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.6,120,12.5,1,0.0066,153,.,.,.,.,.
12,Parker,2000-12-14,8:45:00,n/a,n/a,n/a,n/a,,no data,n/,0,8.25,90,11,0,0.0133,113,15,.,11.5,.,.
33,Parker,2000-12-14,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.6,110,14,0.5,0,102,5,.,7,.,.
12,Parker,2000-12-14,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.9,95,10.5,0.1,0.0133,98,5,.,8.05,.,.
33,Parker,2000-12-14,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.75,85,11.5,0.23,0.133,102,5,.,9.25,.,.
13,Parker,2000-12-14,9:45:00,n/a,n/a,n/a,n/a,,no data,n/a,1,7.6,120,11,0.5,0.0027,132,10,.,10.14,.,.
12,Parker,2000-12-14,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0.5,7.95,80,10,0.34,0,119,10,.,12,.,.
13,Parker,2000-12-14,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,1,7.1,110,13,0.6,0,153,10,.,12.1,.,.
33,Parker,2000-12-14,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0.5,7.7,80,11,0.37,0,.,5,.,8.6,.,.
5,"Cambridge
Springs",2000-12-19,.,"ice chunks, fast",snow,1.6,n/a,,no data,2,1,7.8,55,12,0.345,0.04,44,15,.,11.05,.,.
36,Conneaut Valley,2000-12-19,.,frozen,"cold, snow",0.32,n/a,,no data,0.16,1.4,7.8,60,12,0.17,0.02,85,10,.,8,.,.
37,Conneaut Valley,2000-12-19,.,frozen,"cold, snow",0.8,n/a,,no data,0.13,1.3,7.6,60,11,0.11,0.03,102,20,.,8.65,.,.
38,Conneaut Valley,2000-12-19,.,"turbid, frozen","cold, snow",0.87,n/a,,no data,0.17,1.1,7.4,60,12,0.13,0.01,85,15,.,6.85,.,.
46,Seneca,2000-12-19,.,snow,"4"" ice cover",veryhigh,n/a,,no data,n/a,0,10.5,80,10.5,0,0.67,13.6,50,.,46.7,.,.
1,Maplewood,2000-12-21,3:00:00,frozen,cold/snow,normal,n/a,,no data,n/a,2,7.9,30,13,0.06,0,34,0,.,4.7,.,.
1,Maplewood,2000-12-21,9:30:00,frozen,cold/snow,normal,n/a,,no data,n/a,2,8.4,20,16,0.08,0,68,0,.,6.8,.,.
1,Maplewood,2000-12-22,.,clear,light rain,normal,n/a,,no data,n/a,1,7.4,30,14,0.002,0.006,51,5,.,2.11,.,.
1,Maplewood,2000-12-22,10:00:00,mostly frozen,cold 0 deg.,normal,n/a,,no data,n/a,1,7.1,20,15,0,0.03,51,0,.,3.15,.,.
1,Maplewood,2000-12-22,11:00:00,cold,cold,normal,n/a,,no data,n/a,0,7.2,20,14,0,0,34,0,.,2.6,.,.
1,Maplewood,2000-12-22,12:30:00,cold,cold,n/a,n/a,,no data,n/a,0,7,30,11,0.07,0,68,0,.,7,.,.
1,Maplewood,2000-12-22,13:30:00,cold,freezing,normal,n/a,,no data,n/a,2,6.9,20,11,0.08,0,34,0,.,7.9,.,.
5,"Cambridge
Springs",2001-01-02,.,shells,snow,60,n/a,,no data,0.85,1,7.7,100,13,0.425,0.07,76.5,2.5,.,8.3,.,.
36,Conneaut Valley,2001-01-02,.,frozen,"cold, snow",0.2,n/a,,no data,0.13,0.8,8.4,80,14,0.73,0.02,136,0,.,15,.,.
37,Conneaut Valley,2001-01-02,.,frozen,"cold, snow",0.8,n/a,,no data,0.16,1.2,8.8,80,14,0.23,0.04,119,0,.,13.5,.,.
38,Conneaut Valley,2001-01-02,.,frozen,"cold, snow",0.6,n/a,,no data,0.09,1.8,9.2,90,14,0.52,0.01,119,5,.,20.15,.,.
41,"Cam. Springs
HS (Dzurko)",2001-01-02,.,"froze, gr/br.-ish",snow/cold,high,n/a,,no data,n/a,2.5,7.7,125,14.5,0.1,0.0066,102,5,.,3.55,.,.
2,Bethesda,2001-01-03,.,partially frozen,"sun, cold",n/a,n/a,,no data,n/a,-2,7.5,90,13,1,0,161.5,2.5,.,11.4,.,.
43,"Maplewood
JR/SR HS",2001-01-03,.,mostly froze,"snow, cold",normal,n/a,,no data,n/a,1.5,7.55,75,14,0,0.083,68,5,.,2.85,.,.
6,Saegertown,2001-01-04,.,"icy, clear","snowy, windy",8.5,34.1,Hard=6.5g/pg,no data,0.88,0,8.9,80,12,0.19,0,127.5,5,.,15.7,.,.
44,"Saegertown
(Dzurko)",2001-01-04,.,clear/lit.icy,cold/snow,normal,n/a,,no data,normal,1,7.5,80,14.5,0.15,0,102,7.5,.,2.85,.,.
45,"Saegertown
(Dzurko)",2001-01-04,.,clear/lit.icy,snow/cold,high,n/a,,no data,n/a,1.75,7.45,80,14.5,0.15,0.0019,102,5,.,2.78,.,.
42,"Maplewood
JR/SR HS",2001-01-08,.,"clear, lit. icy",cold/snow,normal,n/a,,no data,normal,3,7.7,65,10.5,0.12,0.0045,68,5,.,6.52,.,.
47,Grove City,2001-01-08,10:15:00,normal,snow,n/a,n/a,,no data,n/a,2,7.5,150,14,0.1,0,162,5,.,2.2,.,.
48,Grove City,2001-01-08,11:30:00,normal,snow,n/a,n/a,,no data,n/a,2.3,7.6,155,13,0.2,0,170,5,.,4.7,.,.
5,"Cambridge
Springs",2001-01-10,.,clear,snow,0.7,n/a,,no data,n/a,0.5,7.9,80,8.5,0.4,0.03,34,0,.,11.7,.,.
43,"Maplewood
JR/SR HS",2001-01-10,.,clear/frozen,cold/snow,normal,n/a,,no data,n/a,2,7.5,45,13.5,0,0,42.5,5,.,1.55,.,.
46,Seneca,2001-01-12,.,"8"" ice cover","warm,clear",normal,n/a,,no data,n/a,1,7.25,185,4,0,0,88.4,0,.,9.2,.,.
21,"Cambridge
Springs",2001-01-12,2:15:00,frozen,"cold, sunny",normal,n/a,,no data,n/a,-2,7.3,110,7.5,0,0,7,.,.,.,.,.
21,"Cambridge
Springs",2001-01-12,10:00:00,frozen,partly cloudy,normal,n/a,,no data,n/a,1,77,110,7.5,0,0,7,.,.,.,.,.
36,Conneaut Valley,2001-01-16,.,ice on edges,"light sleet, cold",0.2,n/a,,no data,0.16,1.8,7.4,90,12,0.37,0.03,85,5,.,7.55,.,.
37,Conneaut Valley,2001-01-16,.,ice along edges,"light sleet, cold",0.8,n/a,,no data,0.14,1.7,7.8,70,12,0.63,0.03,85,5,.,11.75,.,.
38,Conneaut Valley,2001-01-16,.,ice on edges,"light sleet, cold",0.9,n/a,,no data,0.07,1.3,7.5,80,12,0.55,0.04,68,20,.,11.7,.,.
7,Meadville Senior,2001-01-17,.,partially frozen,"cold, snow",normal,n/a,,no data,n/a,1,8.1,100,11,0,0,68,5,.,8.1,.,.
19,Clymer,2001-01-17,.,iced over,"blustery, snow",1.5,n/a,,no data,n/a,5,7.5,110,13,0.04,0.83,17.4,20,.,17.75,.,.
3,Bethesda,2001-01-18,.,thaw,light snow,n/a,n/a,,no data,n/a,1.5,7.3,80,13.5,0.46,0,85,5,.,7.75,.,.
6,Saegertown,2001-01-18,.,no data,no data,1.1,43.6,,no data,0.87,5,8.5,100,11.5,0.35,0.065,93.5,0,.,15.3,.,.
12,Parker,2001-01-18,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,1,7.4,85,14,0.08,0,153,7.5,.,3.3,.,.
13,Parker,2001-01-18,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.7,150,12.5,0.24,0.02,204,10,.,15.55,.,.
33,Parker,2001-01-18,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.7,110,.,0.24,0.0333,153,5,.,.,.,.
12,Parker,2001-01-18,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.55,90,12,0.49,0,144.5,5,.,15.9,.,.
13,Parker,2001-01-18,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.3,165,11.5,0.19,0.0333,161.5,10,.,12.75,.,.
33,Parker,2001-01-18,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,6.9,100,11.5,0.25,0,119,5,.,10.25,.,.
12,Parker,2001-01-18,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,1.5,7.9,85,10,0.16,0,136,5,.,8.8,.,.
13,Parker,2001-01-18,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,1,8.2,185,.,0.2055,0,127.5,10,.,.,.,.
33,Parker,2001-01-18,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.35,110,12,0.31,0,136,5,.,6.9,.,.
27,"Allegheny
College",2001-01-24,.,iced over,"calm, cold",high,n/a,,< 50,n/a,3,.,90,12,0.28,0,119,2.5,0,64.9,.,.
5,"Cambridge
Springs",2001-01-25,.,clear,snow,0.7,n/a,,no data,fast,1,7.65,100,15.5,0.445,0.03,37.4,27.5,.,10.75,.,.
35,Meadville High,2001-01-25,.,"cloudy, fast",warm,n/a,n/a,,no data,n/a,1,.,40,12.5,0.14,0.038,85,13.75,.,.,.,.
9,Sherman,2001-01-29,.,very high,snow,higher,,,no data,n/a,6.5,14.4,.,9.5,0.09,0,51,15,.,62.45,.,.
36,Conneaut Valley,2001-01-30,.,"turbid, free flow","rain,snow melt",0.35,n/a,,no data,0.45,1.4,7.5,80,11,0.78,0.03,82,20,.,14.55,.,.
37,Conneaut Valley,2001-01-30,.,"turbid, free flow","rain, snowmelt",0.98,n/a,,no data,0.43,2,7.4,110,8,0.73,0.01,75,15,.,15.65,.,.
38,Conneaut Valley,2001-01-30,.,"turbid, shore ice","rain, snowmelt",0.95,n/a,,no data,0.16,1.9,7.2,110,12,0.31,0.01,88,10,.,9.25,.,.
5,"Cambridge
Springs",2001-01-31,.,ice chunks,"rain, overcast",0.9,n/a,,no data,fast,1.75,7.85,100,13.5,0.5,0.013,34,5,.,9.55,.,.
9,"Sherman
Central",2001-01-31,.,n/a,"rain, snow",higher,n/a,,no data,n/a,0,7.6,135,6,0.17,.,93.5,15,.,.,.,.
6,Saegertown,2001-02-01,.,murky,"cold, rainy",1.1,57.2,,no data,1.14,2,7.2,80,11,1,0.02,68,22.5,.,19.5,.,.
12,Parker,2001-02-01,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,1,7.95,75,12.5,0.295,0.0266,127.5,5,.,9.2,.,.
13,Parker,2001-02-01,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.35,165,13,0.41,0.00666,145,5,.,7.3,.,.
33,Parker,2001-02-01,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,0.75,7.1,85,12,0.02,0.0266,119,10,.,7.4,.,.
12,Parker,2001-02-01,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,2,8.3,65,11.5,0.29,0.0266,127.5,5,.,12.65,.,.
13,Parker,2001-02-01,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.4,150,10,0.7,0.00133,136,5,.,11.82,.,.
33,Parker,2001-02-01,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,1,7.7,115,13.5,0.02,0,102,10,.,4.35,.,.
12,Parker,2001-02-01,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,1,7.95,90,12.5,0.26,0,127.5,5,.,8.45,.,.
13,Parker,2001-02-01,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.65,150,12,0.8,0.00166,170,5,.,11.82,.,.
33,Parker,2001-02-01,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,1.5,7.4,100,11,0.04,0,119,10,.,5.5,.,.
5,"Cambridge
Springs",2001-02-07,.,clear,normal,0.8,n/a,,no data,fast,2,7.5,90,13,0.4,0.01,34,15,.,8.05,.,.
19,Clymer,2001-02-07,.,thawing,n/a,1.8,n/a,,no data,18,3,9.5,90,9,0.2,0,221,3,.,22.3,.,.
28,Fort LeBoeuf,2001-02-07,.,vegetation,"rain, snow",higher,n/a,,no data,n/a,2,7.1,80,13.5,0.55,0.39,85,10,.,17.1,.,.
2,Bethesda,2001-02-08,.,"clear, fast","50's, overcast",normal,n/a,,no data,n/a,1,7.55,60,12.5,0.1,0,85,0,.,2.65,.,.
48,Grove City,2001-02-08,7:30:00,n/a,n/a,n/a,n/a,,no data,n/a,1.2,7.6,180,14,0,0,170,7.5,.,2.5,.,.
47,Grove City,2001-02-08,11:15:00,n/a,n/a,n/a,n/a,,no data,n/a,1,7.5,160,12,0.2,0,146,5,.,4.6,.,.
30,Seneca,2001-02-09,.,overflowing,snow melt,high,n/a,,no data,fast,3,7.15,40,9,0,0,85,.,.,.,.,.
46,Seneca,2001-02-09,.,frozen top layer,melt,high,n/a,,no data,n/a,2,7.25,180,7.5,0,0,71.4,.,.,.,.,.
42,"Maplewood
JR/SR HS",2001-02-12,.,"clear, shore ice",very cold,higher,n/a,,no data,n/a,1,7.55,45,13.5,0,0.013,51,5,.,2.15,.,.
41,"Cam. Springs
HS (Dzurko)",2001-02-13,.,icy,"sunny, warmer",high,n/a,,no data,n/a,4,7.5,90,13,0.075,0.01,85,7.5,.,3.3,.,.
5,"Cambridge
Springs",2001-02-14,.,high,snow,1.6,n/a,,no data,2,3.5,8,65,11,0.4,0.082,30.5,0,.,11.53,.,.
7,Meadville Senior,2001-02-14,.,n/a,"rain, thaw",high,n/a,,no data,quicker,3,8.1,70,10,0,0,68,15,.,10.8,.,.
35,Meadville High,2001-02-14,.,"fast, clear","rainy, cold",0.2,1.4,,no data,0.89,3,7.4,335,9.5,0,0.0084,94,12.5,.,6.78,.,.
39,General McLane,2001-02-14,.,no data,no data,no data,,,no data,n/a,1,8.2,110,12,.,0,119,5,.,.,.,.
43,"Maplewood
JR/SR HS",2001-02-14,.,greenish,"rainy, cold",higher,n/a,,no data,n/a,5.05,7.35,40,13,0.15,0.0066,51,12.5,.,6.2,.,.
25,"Meadville
Middle",2001-02-15,.,high volume,"rain, snowmelt",higher,n/a,,no data,fast,3,7.5,100,9.5,0.19,0,51,10,.,7.25,.,.
26,"Meadville
Middle",2001-02-15,.,high volume,"rain, snowmelt",higher,n/a,,no data,fast,2,7,95,11,0.4,0,97,9,.,12.1,.,.
45,"Saegertown
(Dzurko)",2001-02-15,.,runn-off,"rain, cold",high,n/a,,no data,n/a,3,7.25,75,11.5,0.07,0.049,51,7.5,.,6.89,.,.
1,Maplewood,2001-02-16,3:00:00,clear,light rain/sleet,normal,n/a,,no data,n/a,1,7.4,30,14,0.002,0.006,51,5,.,2.11,.,.
1,Maplewood,2001-02-19,3:00:00,clear/frozen,cold,normal,n/a,,no data,n/a,0,7.4,20,16,0.02,0.007,20.4,5,.,0.9,.,.
1,Maplewood,2001-02-19,9:15:00,clear/frozen,cold/windy,higher,n/a,,no data,n/a,0,7.5,20,16,0.04,0,20.4,5,.,0.2,.,.
5,"Cambridge
Springs",2001-02-21,.,high,snow,1.2,n/a,,no data,2,1,7.45,60,13,0.49,0.04,37.4,36,.,14,.,.
28,Fort LeBoeuf,2001-02-21,.,vegetation,"rain, snow",higher,n/a,,no data,n/a,3,7.7,50,14.5,0.56,0.06,59.5,7.5,.,9.45,.,.
40,General McLane,2001-02-22,.,frozen,"cold, snowy",normal,n/a,,no data,n/a,0,8.2,80,13.5,0.5,0,93.5,5,.,12.15,.,.
44,"Saegertown
(Dzurko)",2001-02-22,.,"icy, clear","cold, snow",higher,n/a,,no data,n/a,1,7.25,70,13,0.45,0,68,5,.,8.4,.,.
12,Parker,2001-02-22,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8,110,14,0.39,0,195,5,.,9.1,.,.
13,Parker,2001-02-22,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.1,75,13,0.04,0.013,161,5,.,7.3,.,.
33,Parker,2001-02-22,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.85,100,9.5,0,0.006,144,5,.,15.24,.,.
12,Parker,2001-02-22,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.2,120,16,0.74,0,187,5,.,12.8,.,.
13,Parker,2001-02-22,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.1,105,15,0.62,0.006,238,5,.,11.59,.,.
33,Parker,2001-02-22,9:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.7,95,10,0.28,0.006,153,5,.,16.49,.,.
12,Parker,2001-02-22,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.15,110,15,0.66,0.03,170,5,.,12.75,.,.
13,Parker,2001-02-22,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.4,90,12,0.3,0,170,5,.,12.8,.,.
33,Parker,2001-02-22,11:30:00,n/a,n/a,n/a,n/a,,no data,n/a,0,8.2,90,9.5,0.15,0,127.5,5,.,11.45,.,.
21,"Cambridge
Springs",2001-02-23,1:15:00,frozen,snow,normal,n/a,,no data,n/a,-5,7.7,130,11,0,0,10.7,5,.,4.9,.,.
21,"Cambridge
Springs",2001-02-23,10:10:00,frozen,snow,normal,n/a,,no data,n/a,1,6.3,90,12,0,0,51,10,.,13.2,.,.
36,Conneaut Valley,2001-02-27,.,flow,"cloudy, cold",0.28,n/a,,no data,0.65,1.2,7.7,100,11,0.54,0.013,88,5,.,10.5,.,.
37,Conneaut Valley,2001-02-27,.,"some ice, clear","cloudy, dry",0.4,n/a,,no data,0.22,1.4,7.8,90,12,0.36,0.013,88,0,.,7.8,.,.
38,Conneaut Valley,2001-02-27,.,"some ice, turbid","cloudy,flurries",0.54,n/a,,no data,0.16,1.4,7.9,100,12,0.06,0.03,88,5,.,6.85,.,.
28,Fort LeBoeuf,2001-02-28,.,vegetation,"rain, snow",higher,n/a,,no data,n/a,3.5,6.95,50,13,0.65,0.03,76.5,5,.,13.25,.,.
30,Seneca,2001-02-28,.,"thin ice, clear",snow flurries,low,n/a,,no data,n/a,1,7.4,100,10.5,.,.,.,.,.,.,.,.
46,Seneca,2001-02-28,.,"4-5"" ice","snow, windy",high,n/a,,no data,n/a,1,7.3,185,13,0,0.33,85,35,.,14.45,.,.
3,Bethesda,2001-03-01,.,"clear, fast","flurries, cold",n/a,n/a,,no data,n/a,2,7.55,55,15,0.1,0.1,85,0,.,2.4,.,.
44,"Saegertown
(Dzurko)",2001-03-01,.,murky,n/a,1.1,61.9,hardness 7.5,no data,1,2.5,8,90,12,0.25,0.013,85,10,.,10.3,.,.
1,Maplewood,2001-03-01,3:00:00,clear,clear/cold,normal,n/a,,no data,n/a,1,7.2,20,12,0,0,20.4,5,.,5,.,.
42,"Maplewood
JR/SR HS",2001-03-05,.,clear/some ice,cold,high,n/a,,no data,n/a,3.5,7.5,55,12.5,0,0.01,42.5,5,.,2.4,.,.
41,"Cam. Springs
HS (Dzurko)",2001-03-06,.,murky,warming trend,normal,n/a,,no data,n/a,4.25,7.6,95,13,0.065,0.0166,93.5,10,.,4.6,.,.
7,Meadville Senior,2001-03-07,.,high water,snow,n/a,n/a,,no data,n/a,2,7.2,90,10,0.29,0.1,93,10,.,11.8,.,.
35,Meadville High,2001-03-07,.,cold,no data,,n/a,,no data,n/a,2,7.4,680,12,0.68,0.00835,51,35,.,16.33,.,.
43,"Maplewood
JR/SR HS",2001-03-07,.,clear,cold,high,n/a,,no data,n/a,3,7.45,42.5,12.5,0,0,42.5,5,.,2.65,.,.
40,General McLane,2001-03-08,.,frozen,"snow, cold",normal,n/a,,no data,n/a,-3,7,60,11.5,0,0,68,0,.,5.95,.,.
45,"Saegertown
(Dzurko)",2001-03-08,.,murky,cool,high,n/a,,no data,high,3.5,7.3,75,12,0.05,0.033,51,10,.,6.2,.,.
29,Seneca,2001-03-09,.,"frozen, clear",heavy snow,normal,n/a,,no data,n/a,2,6.7,90,9,0.25,0.001,102,10,.,14.62,.,.
30,Seneca,2001-03-09,.,"clear, frozen",heavy snow,normal,n/a,,no data,n/a,2,6.8,.,9.5,0.001,0.001,193,10,.,10.98,.,.
36,Conneaut Valley,2001-03-13,.,"flooding, turbid","rain, snowmelt",0.9,n/a,,no data,1,2.8,7.9,60,9,0.94,0.05,47.6,80,.,33.05,.,.
37,Conneaut Valley,2001-03-13,.,"flooding, turbid","rain, snowmelt",2.1,n/a,,no data,0.7,2.2,7.3,50,11,0.63,0.02,47.6,70,.,24.5,.,.
38,Conneaut Valley,2001-03-13,.,"flooding, turbid","rain, snowmelt",2.7,n/a,,no data,0.52,2.7,7.1,60,8,0.33,0.06,47.6,50,.,21.8,.,.
6,Saegertown,2001-03-15,.,,,1.4,51.1,Hard=7.5g/pg,no data,0.8,5,8.5,80,10.5,0.01,0.025,119,17.5,.,14.63,.,.
19,Clymer,2001-03-20,.,n/a,"rain, thawing",n/a,n/a,,no data,n/a,2,7.1,80,14,0.1,0.067,68,20,.,9.41,.,.
41,"Cam. Springs
HS (Dzurko)",2001-03-20,.,murky,(high 40's),normal,n/a,,no data,n/a,7.5,7.5,120,13,0.15,0.0132,85,37.5,.,10.1,.,.
5,"Cambridge
Springs",2001-03-21,.,higher,rain,1.3,n/a,,no data,2,6.5,8.4,90,11,0.4,0,30.6,5,.,14.5,.,.
2,Bethesda,2001-03-22,.,n/a,"40's, rain",higher,n/a,,no data,n/a,0.05,.,.,13.5,3.7,0.08,43,10,.,.,.,.
25,"Meadville
Middle",2001-03-22,.,clear,rains,higher,n/a,,no data,fast,7,7.45,130,8.5,0.225,0,153,7.5,.,8.2,.,.
26,"Meadville
Middle",2001-03-22,.,clear,rain,higher,n/a,,no data,fast,4,7.2,118,9,0.35,0.02,98,7.5,.,11.4,.,.
40,General McLane,2001-03-22,.,paritally frozen,rain,normal,n/a,,no data,n/a,0,8.05,60,11.5,0,0.02,102,5,.,7.65,.,.
46,Seneca,2001-03-22,.,"frozen, thawing",warming,higher,n/a,,no data,n/a,2,7.65,140,14.5,0,0,51,15,.,4.05,.,.
36,Conneaut Valley,2001-03-27,.,turbid,"cloudy, snow",0.3,n/a,,no data,0.59,4.1,7.7,110,9,0.54,0.02,68,5,.,12,.,.
37,Conneaut Valley,2001-03-27,.,"clear, free flow","cloudy, snow",0.65,n/a,,no data,0.37,3.5,7.7,90,9,0.36,0.03,68,0,.,9.35,.,.
38,Conneaut Valley,2001-03-27,.,"slow flow, turbid","cloudy, snow",0.7,n/a,,no data,0.28,3.4,7.9,110,12,0.22,0.03,74.8,5,.,8.45,.,.
5,"Cambridge
Springs",2001-03-28,.,murky,snow,0.9,n/a,,no data,1,6.5,8.3,70,13,0.43,0.145,27.2,5,.,14.78,.,.
39,General McLane,2001-03-28,.,no data,no data,no data,,,no data,n/a,6,7.85,105,11,0,0.03,119,2.5,.,6.05,.,.
1,Maplewood,2001-03-29,.,clear,mild,normal,n/a,,no data,n/a,5,7.4,30,13,0.2,0,51,5,.,4.7,.,.
6,Saegertown,2001-03-29,.,,,1.05,59.7,,no data,1.1,6.5,8.5,80,12,0.07,0.4,130,22.5,.,20.8,.,.
40,General McLane,2001-03-29,.,frozen,cold,normal,n/a,,no data,n/a,4,8.05,65,11.5,0,0.27,68,15,.,13.4,.,.
25,"Meadville
Middle",2001-03-30,.,high volume,rain,higher,n/a,,no data,fast,5.5,7.5,130,11.5,0.2,0,93.5,10,.,5.95,.,.
26,"Meadville
Middle",2001-03-30,.,high volume,rain,higher,n/a,,no data,fast,4,7.5,140,10.5,0.02,0,102,10,.,4.85,.,.
40,General McLane,2001-04-03,.,clear,"sleet, cold",normal,n/a,,no data,n/a,2,8,45,12,0,0,102,5,.,6.6,.,.
41,"Cam. Springs
HS (Dzurko)",2001-04-03,.,greenish,Rain/snow,high,n/a,,no data,n/a,9,7.3,95,11,0.5,0.0007,136,15,.,11.91,.,.
42,"Maplewood
JR/SR HS",2001-04-04,.,fairly clear,sunny/cool,high,n/a,,no data,n/a,4.5,7.35,65,12,0.08,0.013,110.5,5,.,4.8,.,.
43,"Maplewood
JR/SR HS",2001-04-04,.,clear,sunny & cool,high,n/a,,no data,n/a,4,7.45,47.5,12,0.07,0.013,51,5,.,3.9,.,.
1,Maplewood,2001-04-04,3:00:00,clear,clear,normal,n/a,,no data,n/a,8,7.1,30,12,0,0,51,0,.,4.8,.,.
44,"Saegertown
(Dzurko)",2001-04-12,.,murky/greenish,warmer,higher,n/a,,no data,n/a,5,7.5,85,11,0.07,0.033,76.5,12.5,.,6,.,.
45,"Saegertown
(Dzurko)",2001-04-12,.,murky,warming,high,n/a,,no data,n/a,5.5,7.4,75,10.5,0.07,0.033,68,20,.,8.65,.,.
1,Maplewood,2001-04-27,1:30:00,clear,clear,normal,n/a,,no data,n/a,15,7.3,30,12,0.02,0.03,68,0,.,3.85,.,.
1,Maplewood,2001-04-27,3:00:00,clear,clear,normal,n/a,,no data,n/a,17,7.1,30,11,0,0,68,0,.,5.5,.,.
1,Maplewood,2001-04-27,9:30:00,clear,clear,normal,n/a,,no data,n/a,10,7.1,30,10,0,0,51,5,.,7.2,.,.
1,Maplewood,2001-04-27,10:00:00,clear,clear,normal,n/a,,no data,n/a,11,7.4,30,10,0,0,51,5,.,4.8,.,.
1,Maplewood,2001-04-27,12:30:00,clear,clear,normal,n/a,,no data,n/a,13,7.3,30,11,0.04,0.05,34,0,.,5.05,.,.
42,"Maplewood
JR/SR HS",2001-04-30,.,clear,sunny/warm,normal,n/a,,no data,n/a,11,7.3,70,10.5,0.02,0.02,127.5,5,.,5.75,.,.
41,"Cam. Springs
HS (Dzurko)",2001-05-01,.,muddy/brown,sunny/warm,normal,n/a,,no data,n/a,17,7.05,120,9,0.55,0.0365,93.5,10,.,15.35,.,.
42,"Maplewood
JR/SR HS",2001-05-02,.,clear,warm,normal,n/a,,no data,n/a,14,7.55,60,10,0.075,0.0066,85,5,.,5.25,.,.
43,"Maplewood
JR/SR HS",2001-05-02,.,clear,warm 70's,normal,n/a,,no data,n/a,14,7.65,65,10,0.09,0.01,85,5,.,6.25,.,.
